Area;NUTS;Item Code (FAO);Item;Year;Unit;Value;Flag;Flag Description
Poland;PL;1062;Eggs, hen, in shell;2012;tonnes;530228;null;Official data
Romania;RO;1062;Eggs, hen, in shell;2014;tonnes;322422;null;Official data
Romania;RO;1062;Eggs, hen, in shell;2015;tonnes;319158;null;Official data
Romania;RO;1062;Eggs, hen, in shell;2012;tonnes;311741;null;Official data
Romania;RO;1062;Eggs, hen, in shell;2013;tonnes;307938;null;Official data
Romania;RO;1062;Eggs, hen, in shell;2011;tonnes;304275;null;Official data
Romania;RO;1062;Eggs, hen, in shell;2016;tonnes;303099;null;Official data
Romania;RO;1062;Eggs, hen, in shell;2010;tonnes;297535;null;Official data
Romania;RO;1062;Eggs, hen, in shell;2009;tonnes;297283;null;Official data
Romania;RO;1062;Eggs, hen, in shell;2017;tonnes;294046;null;Official data
Romania;RO;1062;Eggs, hen, in shell;2018;tonnes;285656;null;Official data
Romania;RO;1062;Eggs, hen, in shell;2019;tonnes;278203;null;Official data
Belgium;BE;1062;Eggs, hen, in shell;2013;tonnes;173530;null;Official data
Belgium;BE;1062;Eggs, hen, in shell;2011;tonnes;169727;null;Official data
Belgium;BE;1062;Eggs, hen, in shell;2010;tonnes;168909;null;Official data
Hungary;HU;1062;Eggs, hen, in shell;2009;tonnes;155922;null;Official data
Belgium;BE;1062;Eggs, hen, in shell;2012;tonnes;153515;null;Official data
Belgium;BE;1062;Eggs, hen, in shell;2009;tonnes;152590;null;Official data
Hungary;HU;1062;Eggs, hen, in shell;2010;tonnes;151804;null;Official data
Sweden;SE;1062;Eggs, hen, in shell;2019;tonnes;149800;null;Official data
Portugal;PT;1062;Eggs, hen, in shell;2015;tonnes;144837;null;Official data
Portugal;PT;1062;Eggs, hen, in shell;2018;tonnes;142790;null;Official data
Hungary;HU;1062;Eggs, hen, in shell;2015;tonnes;141921;null;Official data
Portugal;PT;1062;Eggs, hen, in shell;2019;tonnes;141599;null;Official data
Portugal;PT;1062;Eggs, hen, in shell;2017;tonnes;141211;null;Official data
Sweden;SE;1062;Eggs, hen, in shell;2018;tonnes;141100;null;Official data
Hungary;HU;1062;Eggs, hen, in shell;2016;tonnes;140400;null;Official data
Portugal;PT;1062;Eggs, hen, in shell;2016;tonnes;139306;null;Official data
Hungary;HU;1062;Eggs, hen, in shell;2013;tonnes;137145;null;Official data
Hungary;HU;1062;Eggs, hen, in shell;2011;tonnes;136561;null;Official data
Hungary;HU;1062;Eggs, hen, in shell;2017;tonnes;135598;null;Official data
Hungary;HU;1062;Eggs, hen, in shell;2014;tonnes;134427;null;Official data
Hungary;HU;1062;Eggs, hen, in shell;2012;tonnes;133946;null;Official data
Portugal;PT;1062;Eggs, hen, in shell;2014;tonnes;131858;null;Official data
Portugal;PT;1062;Eggs, hen, in shell;2010;tonnes;131123;null;Official data
Austria;AT;1062;Eggs, hen, in shell;2019;tonnes;129358;null;Official data
Sweden;SE;1062;Eggs, hen, in shell;2013;tonnes;129000;null;Official data
Austria;AT;1062;Eggs, hen, in shell;2018;tonnes;127585;null;Official data
Portugal;PT;1062;Eggs, hen, in shell;2013;tonnes;125452;null;Official data
Austria;AT;1062;Eggs, hen, in shell;2017;tonnes;124728;null;Official data
Portugal;PT;1062;Eggs, hen, in shell;2009;tonnes;124184;null;Official data
Portugal;PT;1062;Eggs, hen, in shell;2011;tonnes;122815;null;Official data
Sweden;SE;1062;Eggs, hen, in shell;2012;tonnes;122000;null;Official data
Austria;AT;1062;Eggs, hen, in shell;2016;tonnes;121467;null;Official data
Portugal;PT;1062;Eggs, hen, in shell;2012;tonnes;120482;null;Official data
Greece;EL;1062;Eggs, hen, in shell;2013;tonnes;116883;null;Official data
Sweden;SE;1062;Eggs, hen, in shell;2011;tonnes;116000;null;Official data
Austria;AT;1062;Eggs, hen, in shell;2015;tonnes;111314;null;Official data
Sweden;SE;1062;Eggs, hen, in shell;2010;tonnes;111000;null;Official data
Austria;AT;1062;Eggs, hen, in shell;2014;tonnes;109719;null;Official data
Greece;EL;1062;Eggs, hen, in shell;2009;tonnes;108800;null;Official data
Austria;AT;1062;Eggs, hen, in shell;2013;tonnes;107292;null;Official data
Greece;EL;1062;Eggs, hen, in shell;2014;tonnes;107208;null;Official data
Austria;AT;1062;Eggs, hen, in shell;2012;tonnes;106901;null;Official data
Greece;EL;1062;Eggs, hen, in shell;2015;tonnes;105917;null;Official data
Sweden;SE;1062;Eggs, hen, in shell;2009;tonnes;105000;null;Official data
Austria;AT;1062;Eggs, hen, in shell;2011;tonnes;102678;null;Official data
Greece;EL;1062;Eggs, hen, in shell;2010;tonnes;99800;null;Official data
Greece;EL;1062;Eggs, hen, in shell;2012;tonnes;96300;null;Official data
Czechia;CZ;1062;Eggs, hen, in shell;2009;tonnes;95827;null;Official data
Austria;AT;1062;Eggs, hen, in shell;2010;tonnes;94631;null;Official data
Greece;EL;1062;Eggs, hen, in shell;2011;tonnes;93000;null;Official data
Austria;AT;1062;Eggs, hen, in shell;2009;tonnes;91911;null;Official data
Bulgaria;BG;1062;Eggs, hen, in shell;2010;tonnes;89264;null;Official data
Bulgaria;BG;1062;Eggs, hen, in shell;2009;tonnes;88681;null;Official data
Czechia;CZ;1062;Eggs, hen, in shell;2019;tonnes;88405;null;Official data
Denmark;DK;1062;Eggs, hen, in shell;2017;tonnes;87899;null;Official data
Denmark;DK;1062;Eggs, hen, in shell;2016;tonnes;86211;null;Official data
Bulgaria;BG;1062;Eggs, hen, in shell;2019;tonnes;84865;null;Official data
Czechia;CZ;1062;Eggs, hen, in shell;2018;tonnes;84654;null;Official data
Czechia;CZ;1062;Eggs, hen, in shell;2017;tonnes;84422;null;Official data
Denmark;DK;1062;Eggs, hen, in shell;2015;tonnes;84102;null;Official data
Denmark;DK;1062;Eggs, hen, in shell;2014;tonnes;82056;null;Official data
Denmark;DK;1062;Eggs, hen, in shell;2013;tonnes;82029;null;Official data
Denmark;DK;1062;Eggs, hen, in shell;2019;tonnes;82000;null;Official data
Denmark;DK;1062;Eggs, hen, in shell;2012;tonnes;80179;null;Official data
Bulgaria;BG;1062;Eggs, hen, in shell;2016;tonnes;79909;null;Official data
Bulgaria;BG;1062;Eggs, hen, in shell;2017;tonnes;79391;null;Official data
Denmark;DK;1062;Eggs, hen, in shell;2011;tonnes;78584;null;Official data
Bulgaria;BG;1062;Eggs, hen, in shell;2018;tonnes;77871;null;Official data
Denmark;DK;1062;Eggs, hen, in shell;2018;tonnes;77000;null;Official data
Bulgaria;BG;1062;Eggs, hen, in shell;2015;tonnes;76568;null;Official data
Denmark;DK;1062;Eggs, hen, in shell;2010;tonnes;76376;null;Official data
Slovakia;SK;1062;Eggs, hen, in shell;2013;tonnes;75662;null;Official data
Finland;FI;1062;Eggs, hen, in shell;2019;tonnes;75600;null;Official data
Czechia;CZ;1062;Eggs, hen, in shell;2016;tonnes;75492;null;Official data
Slovakia;SK;1062;Eggs, hen, in shell;2018;tonnes;74883;null;Official data
Finland;FI;1062;Eggs, hen, in shell;2018;tonnes;74880;null;Official data
Slovakia;SK;1062;Eggs, hen, in shell;2011;tonnes;74646;null;Official data
Slovakia;SK;1062;Eggs, hen, in shell;2012;tonnes;74549;null;Official data
Slovakia;SK;1062;Eggs, hen, in shell;2017;tonnes;74450;null;Official data
Czechia;CZ;1062;Eggs, hen, in shell;2014;tonnes;74394;null;Official data
Bulgaria;BG;1062;Eggs, hen, in shell;2014;tonnes;74232;null;Official data
Denmark;DK;1062;Eggs, hen, in shell;2009;tonnes;73942;null;Official data
Bulgaria;BG;1062;Eggs, hen, in shell;2013;tonnes;73891;null;Official data
Finland;FI;1062;Eggs, hen, in shell;2017;tonnes;73550;null;Official data
Bulgaria;BG;1062;Eggs, hen, in shell;2011;tonnes;73483;null;Official data
Czechia;CZ;1062;Eggs, hen, in shell;2011;tonnes;73099;null;Official data
Finland;FI;1062;Eggs, hen, in shell;2016;tonnes;72570;null;Official data
Slovakia;SK;1062;Eggs, hen, in shell;2016;tonnes;72254;null;Official data
Bulgaria;BG;1062;Eggs, hen, in shell;2012;tonnes;71889;null;Official data
Czechia;CZ;1062;Eggs, hen, in shell;2015;tonnes;71594;null;Official data
Slovakia;SK;1062;Eggs, hen, in shell;2019;tonnes;71510;null;Official data
Finland;FI;1062;Eggs, hen, in shell;2015;tonnes;71450;null;Official data
Czechia;CZ;1062;Eggs, hen, in shell;2010;tonnes;71082;null;Official data
Czechia;CZ;1062;Eggs, hen, in shell;2013;tonnes;70899;null;Official data
Slovakia;SK;1062;Eggs, hen, in shell;2009;tonnes;70581;null;Official data
Slovakia;SK;1062;Eggs, hen, in shell;2010;tonnes;70581;null;Official data
Slovakia;SK;1062;Eggs, hen, in shell;2014;tonnes;69765;null;Official data
Finland;FI;1062;Eggs, hen, in shell;2014;tonnes;67100;null;Official data
Finland;FI;1062;Eggs, hen, in shell;2013;tonnes;66900;null;Official data
Slovakia;SK;1062;Eggs, hen, in shell;2015;tonnes;66897;null;Official data
Czechia;CZ;1062;Eggs, hen, in shell;2012;tonnes;66064;null;Official data
Finland;FI;1062;Eggs, hen, in shell;2011;tonnes;62800;null;Official data
Finland;FI;1062;Eggs, hen, in shell;2012;tonnes;62200;null;Official data
Finland;FI;1062;Eggs, hen, in shell;2010;tonnes;61500;null;Official data
Finland;FI;1062;Eggs, hen, in shell;2009;tonnes;53900;null;Official data
Lithuania;LT;1062;Eggs, hen, in shell;2018;tonnes;51120;null;Official data
Croatia;HR;1062;Eggs, hen, in shell;2009;tonnes;48300;null;Official data
Lithuania;LT;1062;Eggs, hen, in shell;2019;tonnes;48170;null;Official data
Lithuania;LT;1062;Eggs, hen, in shell;2009;tonnes;47820;null;Official data
Lithuania;LT;1062;Eggs, hen, in shell;2010;tonnes;46400;null;Official data
Lithuania;LT;1062;Eggs, hen, in shell;2014;tonnes;46400;null;Official data
Lithuania;LT;1062;Eggs, hen, in shell;2015;tonnes;45600;null;Official data
Latvia;LV;1062;Eggs, hen, in shell;2010;tonnes;44990;null;Official data
Lithuania;LT;1062;Eggs, hen, in shell;2016;tonnes;44500;null;Official data
Lithuania;LT;1062;Eggs, hen, in shell;2011;tonnes;43750;null;Official data
Lithuania;LT;1062;Eggs, hen, in shell;2012;tonnes;43500;null;Official data
Latvia;LV;1062;Eggs, hen, in shell;2009;tonnes;42910;null;Official data
Lithuania;LT;1062;Eggs, hen, in shell;2013;tonnes;42900;null;Official data
Croatia;HR;1062;Eggs, hen, in shell;2010;tonnes;42300;null;Official data
Latvia;LV;1062;Eggs, hen, in shell;2012;tonnes;42281;null;Official data
Latvia;LV;1062;Eggs, hen, in shell;2011;tonnes;41890;null;Official data
Lithuania;LT;1062;Eggs, hen, in shell;2017;tonnes;41670;null;Official data
Croatia;HR;1062;Eggs, hen, in shell;2011;tonnes;41500;null;Official data
Croatia;HR;1062;Eggs, hen, in shell;2016;tonnes;39800;null;Official data
Latvia;LV;1062;Eggs, hen, in shell;2013;tonnes;39638;null;Official data
Croatia;HR;1062;Eggs, hen, in shell;2017;tonnes;39234;null;Official data
Croatia;HR;1062;Eggs, hen, in shell;2013;tonnes;36400;null;Official data
Croatia;HR;1062;Eggs, hen, in shell;2012;tonnes;35100;null;Official data
Croatia;HR;1062;Eggs, hen, in shell;2014;tonnes;34200;null;Official data
Croatia;HR;1062;Eggs, hen, in shell;2015;tonnes;33300;null;Official data
Slovenia;SL;1062;Eggs, hen, in shell;2019;tonnes;24779;null;Official data
Slovenia;SL;1062;Eggs, hen, in shell;2018;tonnes;23820;null;Official data
Slovenia;SL;1062;Eggs, hen, in shell;2016;tonnes;23476;null;Official data
Slovenia;SL;1062;Eggs, hen, in shell;2017;tonnes;23217;null;Official data
Slovenia;SL;1062;Eggs, hen, in shell;2012;tonnes;22152;null;Official data
Slovenia;SL;1062;Eggs, hen, in shell;2010;tonnes;21618;null;Official data
Slovenia;SL;1062;Eggs, hen, in shell;2009;tonnes;21529;null;Official data
Slovenia;SL;1062;Eggs, hen, in shell;2014;tonnes;21455;null;Official data
Slovenia;SL;1062;Eggs, hen, in shell;2011;tonnes;21425;null;Official data
Slovenia;SL;1062;Eggs, hen, in shell;2015;tonnes;20419;null;Official data
Slovenia;SL;1062;Eggs, hen, in shell;2013;tonnes;19362;null;Official data
Estonia;EE;1062;Eggs, hen, in shell;2017;tonnes;12635;null;Official data
Estonia;EE;1062;Eggs, hen, in shell;2018;tonnes;12591;null;Official data
Estonia;EE;1062;Eggs, hen, in shell;2015;tonnes;12444;null;Official data
Estonia;EE;1062;Eggs, hen, in shell;2016;tonnes;12105;null;Official data
Estonia;EE;1062;Eggs, hen, in shell;2014;tonnes;12030;null;Official data
Estonia;EE;1062;Eggs, hen, in shell;2011;tonnes;11411;null;Official data
Estonia;EE;1062;Eggs, hen, in shell;2013;tonnes;11400;null;Official data
Estonia;EE;1062;Eggs, hen, in shell;2010;tonnes;11366;null;Official data
Estonia;EE;1062;Eggs, hen, in shell;2009;tonnes;10829;null;Official data
Estonia;EE;1062;Eggs, hen, in shell;2012;tonnes;10750;null;Official data
Cyprus;CY;1062;Eggs, hen, in shell;2013;tonnes;10594;null;Official data
Cyprus;CY;1062;Eggs, hen, in shell;2014;tonnes;10556;null;Official data
Cyprus;CY;1062;Eggs, hen, in shell;2019;tonnes;10503;null;Official data
Cyprus;CY;1062;Eggs, hen, in shell;2009;tonnes;9787;null;Official data
Cyprus;CY;1062;Eggs, hen, in shell;2016;tonnes;9657;null;Official data
Cyprus;CY;1062;Eggs, hen, in shell;2017;tonnes;9635;null;Official data
Cyprus;CY;1062;Eggs, hen, in shell;2012;tonnes;9610;null;Official data
Cyprus;CY;1062;Eggs, hen, in shell;2011;tonnes;9472;null;Official data
Estonia;EE;1062;Eggs, hen, in shell;2019;tonnes;9437;null;Official data
Cyprus;CY;1062;Eggs, hen, in shell;2018;tonnes;9369;null;Official data
Cyprus;CY;1062;Eggs, hen, in shell;2015;tonnes;9222;null;Official data
Cyprus;CY;1062;Eggs, hen, in shell;2010;tonnes;8613;null;Official data
Malta;MT;1062;Eggs, hen, in shell;2009;tonnes;6955;null;Official data
Malta;MT;1062;Eggs, hen, in shell;2018;tonnes;5815;null;Official data
Malta;MT;1062;Eggs, hen, in shell;2017;tonnes;5608;null;Official data
Malta;MT;1062;Eggs, hen, in shell;2019;tonnes;5452;null;Official data
Malta;MT;1062;Eggs, hen, in shell;2014;tonnes;5239;null;Official data
Malta;MT;1062;Eggs, hen, in shell;2013;tonnes;5113;null;Official data
Malta;MT;1062;Eggs, hen, in shell;2010;tonnes;5091;null;Official data
Malta;MT;1062;Eggs, hen, in shell;2015;tonnes;4889;null;Official data
Malta;MT;1062;Eggs, hen, in shell;2016;tonnes;4843;null;Official data
Malta;MT;1062;Eggs, hen, in shell;2012;tonnes;4317;null;Official data
Malta;MT;1062;Eggs, hen, in shell;2011;tonnes;3434;null;Official data
Luxembourg;LU;1062;Eggs, hen, in shell;2019;tonnes;2224;null;Official data
Luxembourg;LU;1062;Eggs, hen, in shell;2018;tonnes;2077;null;Official data
Luxembourg;LU;1062;Eggs, hen, in shell;2017;tonnes;2063;null;Official data
Luxembourg;LU;1062;Eggs, hen, in shell;2016;tonnes;2035;null;Official data
Luxembourg;LU;1062;Eggs, hen, in shell;2014;tonnes;1964;null;Official data
Luxembourg;LU;1062;Eggs, hen, in shell;2015;tonnes;1952;null;Official data
Luxembourg;LU;1062;Eggs, hen, in shell;2013;tonnes;1869;null;Official data
Luxembourg;LU;1062;Eggs, hen, in shell;2011;tonnes;1838;null;Official data
Luxembourg;LU;1062;Eggs, hen, in shell;2012;tonnes;1802;null;Official data
Luxembourg;LU;1062;Eggs, hen, in shell;2010;tonnes;1684;null;Official data
Luxembourg;LU;1062;Eggs, hen, in shell;2009;tonnes;1567;null;Official data
France;FR;867;Meat, cattle;2011;tonnes;1566806;null;Official data
France;FR;867;Meat, cattle;2010;tonnes;1530258;null;Official data
France;FR;867;Meat, cattle;2009;tonnes;1515808;null;Official data
France;FR;867;Meat, cattle;2012;tonnes;1493865;null;Official data
France;FR;867;Meat, cattle;2016;tonnes;1466099;null;Official data
France;FR;867;Meat, cattle;2018;tonnes;1460000;null;Official data
France;FR;867;Meat, cattle;2015;tonnes;1447906;null;Official data
France;FR;867;Meat, cattle;2017;tonnes;1432780;null;Official data
France;FR;867;Meat, cattle;2019;tonnes;1428460;null;Official data
France;FR;867;Meat, cattle;2014;tonnes;1410854;null;Official data
France;FR;867;Meat, cattle;2013;tonnes;1400331;null;Official data
Germany;DE;867;Meat, cattle;2010;tonnes;1205002;null;Official data
Germany;DE;867;Meat, cattle;2009;tonnes;1189615;null;Official data
Germany;DE;867;Meat, cattle;2011;tonnes;1170376;null;Official data
Germany;DE;867;Meat, cattle;2016;tonnes;1155483;null;Official data
Germany;DE;867;Meat, cattle;2012;tonnes;1146255;null;Official data
Germany;DE;867;Meat, cattle;2014;tonnes;1142603;null;Official data
Germany;DE;867;Meat, cattle;2017;tonnes;1137008;null;Official data
Germany;DE;867;Meat, cattle;2015;tonnes;1132340;null;Official data
Germany;DE;867;Meat, cattle;2013;tonnes;1116507;null;Official data
Germany;DE;867;Meat, cattle;2018;tonnes;1109000;null;Official data
Germany;DE;867;Meat, cattle;2019;tonnes;1107000;null;Official data
Italy;IT;867;Meat, cattle;2010;tonnes;1068900;null;Official data
Italy;IT;867;Meat, cattle;2009;tonnes;1049261;null;Official data
Italy;IT;867;Meat, cattle;2011;tonnes;1000374;null;Official data
Italy;IT;867;Meat, cattle;2012;tonnes;957787;null;Official data
Italy;IT;867;Meat, cattle;2013;tonnes;842122;null;Official data
Italy;IT;867;Meat, cattle;2018;tonnes;809220;null;Official data
Italy;IT;867;Meat, cattle;2016;tonnes;791284;null;Official data
Italy;IT;867;Meat, cattle;2019;tonnes;779820;null;Official data
Italy;IT;867;Meat, cattle;2015;tonnes;771767;null;Official data
Italy;IT;867;Meat, cattle;2017;tonnes;739830;null;Official data
Spain;ES;867;Meat, cattle;2019;tonnes;695170;null;Official data
Italy;IT;867;Meat, cattle;2014;tonnes;694634;null;Official data
Spain;ES;867;Meat, cattle;2018;tonnes;669010;null;Official data
Spain;ES;867;Meat, cattle;2017;tonnes;643861;null;Official data
Spain;ES;867;Meat, cattle;2016;tonnes;637013;null;Official data
Spain;ES;867;Meat, cattle;2015;tonnes;626104;null;Official data
Ireland;IE;867;Meat, cattle;2018;tonnes;622540;null;Official data
Ireland;IE;867;Meat, cattle;2019;tonnes;619800;null;Official data
Ireland;IE;867;Meat, cattle;2017;tonnes;617000;null;Official data
Spain;ES;867;Meat, cattle;2010;tonnes;606596;null;Official data
Spain;ES;867;Meat, cattle;2011;tonnes;604113;null;Official data
Spain;ES;867;Meat, cattle;2009;tonnes;598431;null;Official data
Spain;ES;867;Meat, cattle;2012;tonnes;591319;null;Official data
Ireland;IE;867;Meat, cattle;2016;tonnes;588400;null;Official data
Spain;ES;867;Meat, cattle;2014;tonnes;585218;null;Official data
Ireland;IE;867;Meat, cattle;2014;tonnes;582100;null;Official data
Spain;ES;867;Meat, cattle;2013;tonnes;580840;null;Official data
Poland;PL;867;Meat, cattle;2017;tonnes;569200;null;Official data
Poland;PL;867;Meat, cattle;2018;tonnes;564840;null;Official data
Ireland;IE;867;Meat, cattle;2015;tonnes;564100;null;Official data
Poland;PL;867;Meat, cattle;2019;tonnes;560500;null;Official data
Ireland;IE;867;Meat, cattle;2010;tonnes;559100;null;Official data
Ireland;IE;867;Meat, cattle;2011;tonnes;547100;null;Official data
Ireland;IE;867;Meat, cattle;2013;tonnes;517600;null;Official data
Ireland;IE;867;Meat, cattle;2009;tonnes;514500;null;Official data
Poland;PL;867;Meat, cattle;2016;tonnes;512000;null;Official data
Ireland;IE;867;Meat, cattle;2012;tonnes;495400;null;Official data
Poland;PL;867;Meat, cattle;2015;tonnes;486700;null;Official data
Netherlands;NL;867;Meat, cattle;2018;tonnes;459210;null;Official data
Poland;PL;867;Meat, cattle;2014;tonnes;446300;null;Official data
Netherlands;NL;867;Meat, cattle;2017;tonnes;440639;null;Official data
Netherlands;NL;867;Meat, cattle;2019;tonnes;424300;null;Official data
Netherlands;NL;867;Meat, cattle;2016;tonnes;416060;null;Official data
Netherlands;NL;867;Meat, cattle;2009;tonnes;401752;null;Official data
Poland;PL;867;Meat, cattle;2010;tonnes;400900;null;Official data
Poland;PL;867;Meat, cattle;2009;tonnes;396900;null;Official data
Poland;PL;867;Meat, cattle;2011;tonnes;391200;null;Official data
Netherlands;NL;867;Meat, cattle;2010;tonnes;388610;null;Official data
Poland;PL;867;Meat, cattle;2012;tonnes;382900;null;Official data
Netherlands;NL;867;Meat, cattle;2015;tonnes;382520;null;Official data
Netherlands;NL;867;Meat, cattle;2011;tonnes;381559;null;Official data
Netherlands;NL;867;Meat, cattle;2013;tonnes;379100;null;Official data
Netherlands;NL;867;Meat, cattle;2014;tonnes;376180;null;Official data
Poland;PL;867;Meat, cattle;2013;tonnes;373900;null;Official data
Netherlands;NL;867;Meat, cattle;2012;tonnes;373531;null;Official data
Belgium;BE;867;Meat, cattle;2010;tonnes;281634;null;Official data
Belgium;BE;867;Meat, cattle;2017;tonnes;281536;null;Official data
Belgium;BE;867;Meat, cattle;2016;tonnes;278362;null;Official data
Belgium;BE;867;Meat, cattle;2018;tonnes;277310;null;Official data
Belgium;BE;867;Meat, cattle;2011;tonnes;272282;null;Official data
Belgium;BE;867;Meat, cattle;2015;tonnes;267877;null;Official data
Belgium;BE;867;Meat, cattle;2019;tonnes;263750;null;Official data
Belgium;BE;867;Meat, cattle;2012;tonnes;262280;null;Official data
Belgium;BE;867;Meat, cattle;2009;tonnes;261801;null;Official data
Belgium;BE;867;Meat, cattle;2014;tonnes;257670;null;Official data
Belgium;BE;867;Meat, cattle;2013;tonnes;249973;null;Official data
Austria;AT;867;Meat, cattle;2018;tonnes;233460;null;Official data
Austria;AT;867;Meat, cattle;2015;tonnes;229648;null;Official data
Austria;AT;867;Meat, cattle;2019;tonnes;229610;null;Official data
Austria;AT;867;Meat, cattle;2013;tonnes;228913;null;Official data
Austria;AT;867;Meat, cattle;2016;tonnes;228335;null;Official data
Austria;AT;867;Meat, cattle;2017;tonnes;226859;null;Official data
Austria;AT;867;Meat, cattle;2010;tonnes;226677;null;Official data
Austria;AT;867;Meat, cattle;2009;tonnes;226294;null;Official data
Austria;AT;867;Meat, cattle;2014;tonnes;223193;null;Official data
Austria;AT;867;Meat, cattle;2011;tonnes;222168;null;Official data
Austria;AT;867;Meat, cattle;2012;tonnes;222156;null;Official data
Romania;RO;867;Meat, cattle;2009;tonnes;155199;null;Official data
Romania;RO;867;Meat, cattle;2010;tonnes;154464;null;Official data
Sweden;SE;867;Meat, cattle;2015;tonnes;143980;null;Official data
Romania;RO;867;Meat, cattle;2011;tonnes;142306;null;Official data
Sweden;SE;867;Meat, cattle;2019;tonnes;141150;null;Official data
Sweden;SE;867;Meat, cattle;2009;tonnes;139830;null;Official data
Sweden;SE;867;Meat, cattle;2018;tonnes;138420;null;Official data
Sweden;SE;867;Meat, cattle;2011;tonnes;137880;null;Official data
Sweden;SE;867;Meat, cattle;2010;tonnes;137800;null;Official data
Denmark;DK;867;Meat, cattle;2011;tonnes;134200;null;Official data
Denmark;DK;867;Meat, cattle;2010;tonnes;132500;null;Official data
Sweden;SE;867;Meat, cattle;2017;tonnes;132070;null;Official data
Sweden;SE;867;Meat, cattle;2014;tonnes;131620;null;Official data
Sweden;SE;867;Meat, cattle;2016;tonnes;131250;null;Official data
Denmark;DK;867;Meat, cattle;2018;tonnes;130200;null;Official data
Denmark;DK;867;Meat, cattle;2016;tonnes;129340;null;Official data
Denmark;DK;867;Meat, cattle;2013;tonnes;128000;null;Official data
Denmark;DK;867;Meat, cattle;2009;tonnes;127900;null;Official data
Denmark;DK;867;Meat, cattle;2012;tonnes;126700;null;Official data
Sweden;SE;867;Meat, cattle;2013;tonnes;125880;null;Official data
Denmark;DK;867;Meat, cattle;2014;tonnes;125759;null;Official data
Denmark;DK;867;Meat, cattle;2019;tonnes;125600;null;Official data
Sweden;SE;867;Meat, cattle;2012;tonnes;125340;null;Official data
Denmark;DK;867;Meat, cattle;2017;tonnes;124148;null;Official data
Denmark;DK;867;Meat, cattle;2015;tonnes;120491;null;Official data
Romania;RO;867;Meat, cattle;2015;tonnes;118851;null;Official data
Romania;RO;867;Meat, cattle;2016;tonnes;116177;null;Official data
Romania;RO;867;Meat, cattle;2012;tonnes;114464;null;Official data
Romania;RO;867;Meat, cattle;2017;tonnes;110991;null;Official data
Romania;RO;867;Meat, cattle;2014;tonnes;107581;null;Official data
Portugal;PT;867;Meat, cattle;2009;tonnes;102995;null;Official data
Romania;RO;867;Meat, cattle;2013;tonnes;96179;null;Official data
Portugal;PT;867;Meat, cattle;2011;tonnes;96003;null;Official data
Portugal;PT;867;Meat, cattle;2018;tonnes;93790;null;Official data
Portugal;PT;867;Meat, cattle;2010;tonnes;93159;null;Official data
Portugal;PT;867;Meat, cattle;2012;tonnes;92988;null;Official data
Portugal;PT;867;Meat, cattle;2019;tonnes;92030;null;Official data
Portugal;PT;867;Meat, cattle;2017;tonnes;91187;null;Official data
Portugal;PT;867;Meat, cattle;2016;tonnes;90704;null;Official data
Portugal;PT;867;Meat, cattle;2015;tonnes;88645;null;Official data
Finland;FI;867;Meat, cattle;2019;tonnes;87760;null;Official data
Finland;FI;867;Meat, cattle;2018;tonnes;87060;null;Official data
Finland;FI;867;Meat, cattle;2016;tonnes;86720;null;Official data
Finland;FI;867;Meat, cattle;2015;tonnes;86490;null;Official data
Finland;FI;867;Meat, cattle;2017;tonnes;86080;null;Official data
Portugal;PT;867;Meat, cattle;2013;tonnes;84011;null;Official data
Finland;FI;867;Meat, cattle;2011;tonnes;83500;null;Official data
Finland;FI;867;Meat, cattle;2014;tonnes;83069;null;Official data
Finland;FI;867;Meat, cattle;2010;tonnes;83040;null;Official data
Finland;FI;867;Meat, cattle;2009;tonnes;82050;null;Official data
Finland;FI;867;Meat, cattle;2013;tonnes;81190;null;Official data
Finland;FI;867;Meat, cattle;2012;tonnes;81180;null;Official data
Portugal;PT;867;Meat, cattle;2014;tonnes;79843;null;Official data
Romania;RO;867;Meat, cattle;2018;tonnes;78760;null;Official data
Czechia;CZ;867;Meat, cattle;2009;tonnes;77026;null;Official data
Czechia;CZ;867;Meat, cattle;2019;tonnes;74450;null;Official data
Czechia;CZ;867;Meat, cattle;2010;tonnes;74259;null;Official data
Greece;EL;867;Meat, cattle;2009;tonnes;73937;null;Official data
Romania;RO;867;Meat, cattle;2019;tonnes;73730;null;Official data
Czechia;CZ;867;Meat, cattle;2018;tonnes;72940;null;Official data
Czechia;CZ;867;Meat, cattle;2016;tonnes;72794;null;Official data
Czechia;CZ;867;Meat, cattle;2011;tonnes;72125;null;Official data
Greece;EL;867;Meat, cattle;2010;tonnes;71956;null;Official data
Greece;EL;867;Meat, cattle;2011;tonnes;69817;null;Official data
Greece;EL;867;Meat, cattle;2012;tonnes;69463;null;Official data
Czechia;CZ;867;Meat, cattle;2015;tonnes;69014;null;Official data
Greece;EL;867;Meat, cattle;2013;tonnes;68746;null;Official data
Czechia;CZ;867;Meat, cattle;2017;tonnes;67714;null;Official data
Czechia;CZ;867;Meat, cattle;2014;tonnes;66151;null;Official data
Czechia;CZ;867;Meat, cattle;2012;tonnes;66060;null;Official data
Czechia;CZ;867;Meat, cattle;2013;tonnes;65322;null;Official data
Greece;EL;867;Meat, cattle;2014;tonnes;49216;null;Official data
Croatia;HR;867;Meat, cattle;2013;tonnes;47400;null;Official data
Croatia;HR;867;Meat, cattle;2012;tonnes;47100;null;Official data
Croatia;HR;867;Meat, cattle;2019;tonnes;45430;null;Official data
