TIME,GEO_NAME,GEO,GREEN_POL,SRC_CRF,THOUSAND_TONNES,AIRPOL,AIRPOL_VALUE
2010,BG,Bulgaria,Null,Null,Null,Nitrogen oxides,"125,270"
2010,BG,Bulgaria,Carbon dioxide,Agriculture,18.05,Null,Null
2010,BG,Bulgaria,Null,Null,Null,Sulphur oxides,"386,870"
2010,BG,Bulgaria,Methane,Agriculture,80.18,Null,Null
2010,BG,Bulgaria,Null,Null,Null,Ammonia,"43,230"
2010,BG,Bulgaria,Methane (CO2 equivalent),Agriculture,"2,004.55",Null,Null
2010,BG,Bulgaria,Null,Null,Null,Particulates < 2.5µm,"30,890"
2010,BG,Bulgaria,Nitrous oxide,Agriculture,11.01,Null,Null
2010,BG,Bulgaria,Null,Null,Null,Particulates < 10µm,"52,880"
2010,BG,Bulgaria,Nitrous oxide (CO2 equivalent),Agriculture,"3,281.20",Null,Null
2010,BG,Bulgaria,Null,Null,Null,Non-methane volatile organic compounds,"85,340"
2010,BG,Bulgaria,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,Null,Null
2010,BG,Bulgaria,Perfluorocarbones (CO2 equivalent),Agriculture,:,Null,Null
2010,BG,Bulgaria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,Null,Null
2010,BG,Bulgaria,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,Null,Null
2010,BG,Bulgaria,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,Null,Null
2010,BG,Bulgaria,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-12,668.74",Null,Null
2010,BG,Bulgaria,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-12,952.52",Null,Null
2010,BG,Bulgaria,Methane,"Land use, land use change, and forestry (LULUCF)",0.61,Null,Null
2010,BG,Bulgaria,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",15.19,Null,Null
2010,BG,Bulgaria,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.9,Null,Null
2010,BG,Bulgaria,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",268.58,Null,Null
2010,BG,Bulgaria,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,BG,Bulgaria,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,BG,Bulgaria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,BG,Bulgaria,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,BG,Bulgaria,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,CH,Switzerland,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"6,116.75",Null,Null
2010,CH,Switzerland,Null,Null,Null,Nitrogen oxides,"84,880"
2010,CH,Switzerland,Carbon dioxide,Agriculture,44.44,Null,Null
2010,CH,Switzerland,Null,Null,Null,Sulphur oxides,"10,480"
2010,CH,Switzerland,Methane,Agriculture,162.51,Null,Null
2010,CH,Switzerland,Null,Null,Null,Ammonia,"59,060"
2010,CH,Switzerland,Methane (CO2 equivalent),Agriculture,"4,062.77",Null,Null
2010,CH,Switzerland,Null,Null,Null,Particulates < 2.5µm,"9,200"
2010,CH,Switzerland,Nitrous oxide,Agriculture,6.74,Null,Null
2010,CH,Switzerland,Null,Null,Null,Particulates < 10µm,"17,050"
2010,CH,Switzerland,Nitrous oxide (CO2 equivalent),Agriculture,"2,009.54",Null,Null
2010,CH,Switzerland,Null,Null,Null,Non-methane volatile organic compounds,"100,220"
2010,CH,Switzerland,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,Null,Null
2010,CH,Switzerland,Perfluorocarbones (CO2 equivalent),Agriculture,:,Null,Null
2010,CH,Switzerland,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,Null,Null
2010,CH,Switzerland,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,Null,Null
2010,CH,Switzerland,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,Null,Null
2010,CH,Switzerland,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-2,827.07",Null,Null
2010,CH,Switzerland,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-2,886.07",Null,Null
2010,CH,Switzerland,Methane,"Land use, land use change, and forestry (LULUCF)",0.49,Null,Null
2010,CH,Switzerland,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",12.28,Null,Null
2010,CH,Switzerland,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.16,Null,Null
2010,CH,Switzerland,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",46.72,Null,Null
2010,CH,Switzerland,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,CH,Switzerland,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,CH,Switzerland,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,CH,Switzerland,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,CH,Switzerland,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,CY,Cyprus,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,531.37,Null,Null
2010,CY,Cyprus,Null,Null,Null,Nitrogen oxides,"18,840"
2010,CY,Cyprus,Carbon dioxide,Agriculture,0.74,Null,Null
2010,CY,Cyprus,Null,Null,Null,Sulphur oxides,"21,740"
2010,CY,Cyprus,Methane,Agriculture,12.67,Null,Null
2010,CY,Cyprus,Null,Null,Null,Ammonia,"9,560"
2010,CY,Cyprus,Methane (CO2 equivalent),Agriculture,316.73,Null,Null
2010,CY,Cyprus,Null,Null,Null,Particulates < 2.5µm,"1,580"
2010,CY,Cyprus,Nitrous oxide,Agriculture,0.72,Null,Null
2010,CY,Cyprus,Null,Null,Null,Particulates < 10µm,"3,140"
2010,CY,Cyprus,Nitrous oxide (CO2 equivalent),Agriculture,213.9,Null,Null
2010,CY,Cyprus,Null,Null,Null,Non-methane volatile organic compounds,"12,990"
2010,CY,Cyprus,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,Null,Null
2010,CY,Cyprus,Perfluorocarbones (CO2 equivalent),Agriculture,:,Null,Null
2010,CY,Cyprus,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,Null,Null
